Category,Category in detail,Pureesha pareeksha,Search Term for Feature of pureesha,Reference
Disease,Alpa vitkata - Arshas poorvaroopa (Disease premonitory feature),Vit,Reduced quantity of feces,Ch.Chi.14.21-22
Disease,Shalya kriya mithya upachaara - Lead to vega nigraha (Disease feature),Vega,Obstruction of feces,Ch.Chi.14.35
Treatment,Bhinna shakrut treatment in arshas (Treatment),Shakrut,Bhinna shakrut treatment in arshas (Treatment),Ch.Chi.14.95-96
Treatment,Gaada shakrut treatment in arshas (Treatment),Shakrut,Gaada shakrut treatment in arshas (Treatment),Ch.Chi.14.96-102
Advise,Indication of pippalyaadi ghrita - Varcho vibandha (Advise),Varcha,Indication of pippalyaadi ghrita - Varcho vibandha (Advise),Ch.Chi.14-106
Advise,Indication of chavyaadi ghrita - Pravaahika (Advise),Pravaahika,Indication of chavyaadi ghrita - Pravaahika (Advise),Ch.Chi.14-107-109
Advise,Indication of naagaraadi ghrita - Pravaahika (Advise),Pravaahika,Indication of naagaraadi ghrita - Pravaahika (Advise),Ch.Chi.14.110-112
Advise,Indication of hareetaki prayoga - Vid anuloma (Advise),Vid,Indication of hareetaki prayoga - Vid anuloma (Advise),Ch.Chi.14.119-120
Advise,Indication of Maamsa rasa prayoga in Vid sangha (Advise),Vid,Indication of Maamsa rasa prayoga in Vid sangha (Advise),Ch.Chi.14.121
Advise,Anupaana prayoga for varcho anuloma (Advise),Varcho,Anupaana prayoga for varcho anuloma (Advise),Ch.Chi.14.127-129
Advise,Indication for anuvaasana basti - Pravaahika (Advise),Pravaahika,Indication for anuvaasana basti - Pravaahika (Advise),Ch.Chi.14.131-134
Advise,Indication for anuvaasana basti - Varcho nigraha (Advise),Varcho,Indication for anuvaasana basti - Varcho nigraha (Advise),Ch.Chi.14.131-134
Advise,Indication for anuvaasana basti - Increased frequency of defecation (Advise),Varcho,Indication for anuvaasana basti - Increased frequency of defecation (Advise),Ch.Chi.14.131-134
Advise,Indication for anuvaasana basti - Unsatifactory defecation (Advise),Varcho,Indication for anuvaasana basti - Unsatifactory defecation (Advise),Ch.Chi.14.131-134
Advise,Indication for dantya arishta - Varcho anulomana (Advise),Varcho,Indication for dantya arishta - Varcho anulomana (Advise),Ch.Chi.14.144-147
Advise,Indication for phala arishta - Varcho vibandha (Advise),Varcho,Indication for phala arishta - Varcho vibandha (Advise),Ch.Chi.14.148-152
Advise,Indication for phala arishta - Shakrut vibandha (Advise),Shakrut,Indication for phala arishta - Shakrut vibandha (Advise),Ch.Chi.14.153-157
Disease,Vaata anubandha rakta arshas - Shyaava vit (Disease feature),Vit,Black feces,Ch.Chi.14.171.172
Disease,Vaata anubandha rakta arshas - Kathina vit (Disease feature),Vit,Hard feces,Ch.Chi.14.171.172
Disease,Vaata anubandha rakta arshas - Rooksha vit (Disease feature),Vit,Dry or hard feces,Ch.Chi.14.171.172
Disease,Kapha pradhaana rakta arshas - Shithila vit (Disease feature),Vit,Loose feces,Ch.Chi.14.173.174
Disease,Kapha pradhaana rakta arshas - Shweta vit (Disease feature),Vit,Pale or white feces,Ch.Chi.14.173.174
Disease,Kapha pradhaana rakta arshas - Snigdha vit (Disease feature),Vit,Unctous feces,Ch.Chi.14.173.174
Disease,Kapha pradhaana rakta arshas - Peeta vit (Disease feature),Vit,Yellow feces,Ch.Chi.14.173.174
Disease,Kapha pradhaana rakta arshas - Guru vit (Disease feature),Vit,Heavy feces,Ch.Chi.14.173.174
Disease,Kapha pradhaana rakta arshas - Sheeta vit (Disease feature),Vit,Pale or white feces,Ch.Chi.14.173.174
Advise,Indication for virechana - Pitta and kapha anubandha arshas (Advise),Virechana,Indication for virechana - Pitta and kapha anubandha arshas (Advise),Ch.Chi.14.175-176
Disease,Pureesha vibandha as Complication of immediate hemostatic therapy - Rakta arshas (Disease),Pureesha,Obstruction of feces,Ch.Chi.14.177-181
Advise,Indication of kutajaadi rasakriya - Atisaara (Advise),Atisaara,Indication of kutajaadi rasakriya - Atisaara (Advise),Ch.Chi.14.191-192
Advise,Indication of hreeberaadi peya - Rakta atisaara (Advise),Atisaara,Indication of hreeberaadi peya - Rakta atisaara (Advise),Ch.Chi.14.200
Advise,Indication of hreeberaadi peya - Pravaahika (Advise),Pravaahika,Indication of hreeberaadi peya - Pravaahika (Advise),Ch.Chi.14.200
Advise,Indication of gunjaanaka peya - Rakta atisaara (Advise),Atisaara,Indication of gunjaanaka peya - Rakta atisaara (Advise),Ch.Chi.14.201
Advise,Indication of gunjaanaka peya - Pravaahika (Advise),Pravaahika,Indication of gunjaanaka peya - Pravaahika (Advise),Ch.Chi.14.201
Advise,Recipe for vit kshaya (Advise),Vit,Recipe for vit kshaya (Advise),Ch.Chi.14.209
Advise,Indication of piccha basti - Pravaahika (Advise),Pravaahika,Indication of piccha basti - Pravaahika (Advise),Ch.Chi.14.225-229
Advise,Indication of hreeberaadi ghrita - Pravaahika (Advise),Pravaahika,Indication of hreeberaadi ghrita - Pravaahika (Advise),Ch.Chi.14.230-233
Advise,Indication of hreeberaadi ghrita - Atisaara (Advise),Atisaara,Indication of hreeberaadi ghrita - Atisaara (Advise),Ch.Chi.14.230-233
Advise,Indication of hreeberaadi ghrita - Piccha sraava (Advise),Pureesha,Indication of hreeberaadi ghrita - Piccha sraava (Advise),Ch.Chi.14.230-233
Advise,Indication of Sunishannaka chaangeri ghrita - Pravaahika (Advise),Pravaahika,Indication of Sunishannaka chaangeri ghrita - Pravaahika (Advise),Ch.Chi.14.234-242
Advise,Indication of Sunishannaka chaangeri ghrita - Piccha sraava (Advise),Pureesha,Indication of Sunishannaka chaangeri ghrita - Piccha sraava (Advise),Ch.Chi.14.234-242
Advise,Indication of Sunishannaka chaangeri ghrita - Atisaara (Advise),Atisaara,Indication of Sunishannaka chaangeri ghrita - Atisaara (Advise),Ch.Chi.14.234-242
Advise,Indication of Sunishannaka chaangeri ghrita - Urge of defecation (Advise),Pureesha,Indication of Sunishannaka chaangeri ghrita - Urge of defecation (Advise),Ch.Chi.14.234-242
Physiology,Vin as kitta from anna or food (Physiology),Vin,Vin as kitta from anna or food (Physiology),Ch.Chi.15.18-19
Cause,Virechana mithya upachara lead to grahani (Cause),Virechana,Virechana mithya upachara lead to grahani (Cause),Ch.Chi.15.43
Cause,Vega vidhaarana lead to grahani (Cause),Vega,Vega vidhaarana lead to grahani (Cause),Ch.Chi.15.43
Disease,Pravaahanam as feature of ajeerna (Diesease feature),Pravaahika,Loose feces,Ch.Chi.15.46
Disease,Anna visha in kukshi leads to shakrut gata (Disease feature),Shakrut,Abnormally formed feces,Ch.Chi.15.49
Disease,Atishrushta varcha - Grahani feature (Disease feature),Varcha,Increased quantity of feces,Ch.Chi.15.53
Disease,Vibadha varcha - Grahani feature (Disease feature),Varcha,Obstruction of feces,Ch.Chi.15.53
Disease,Drava varcha - Grahani feature (Disease feature),Varcha,Loose feces,Ch.Chi.15.53
Cause,Vega nigraha lead to Vaataja grahani (Cause),Vega,Vega nigraha lead to Vaataja grahani (Cause),Ch.Chi.15.59
Disease,Visoochika - Vaataja grahani feature (Disease feature),Pureesha,Defecation with pain,Ch.Chi.15.61
Disease,Chiraad varcha - Vaataja grahani feature (Disease feature),Varcha,Delayed defecation,Ch.Chi.15.64
Disease,Dukha varcha - Vaataja grahani feature (Disease feature),Varcha,Difficulty in defecation,Ch.Chi.15.64
Disease,Drava varcha - Vaataja grahani feature (Disease feature),Varcha,Loose feces,Ch.Chi.15.64
Disease,Shushka varcha - Vaataja grahani feature (Disease feature),Varcha,Dry or hard feces,Ch.Chi.15.64
Disease,Tanu varcha - Vaataja grahani feature (Disease feature),Varcha,Thin or less dense feces,Ch.Chi.15.64
Disease,Aama varcha - Vaataja grahani feature (Disease feature),Varcha,Abnormally formed feces,Ch.Chi.15.64
Disease,Neela varcha - Pittaja grahani feature (Disease feature),Varcha,Blue feces,Ch.Chi.15.66
Disease,Peeta varcha - Pittaja grahani feature (Disease feature),Varcha,Yellow feces,Ch.Chi.15.66
Disease,Drava varcha - Pittaja grahani feature (Disease feature),Varcha,Loose feces,Ch.Chi.15.66
Disease,Visoochika - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Defecation with pain,Ch.Chi.15.72
Disease,Chiraad varcha - Vaataja Pittaja Kaphaja  grahani feature (Disease feature),Varcha,Delayed defecation,Ch.Chi.15.72
Disease,Dukha varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Difficulty in defecation,Ch.Chi.15.72
Disease,Drava varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Loose feces,Ch.Chi.15.72
Disease,Shushka varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Dry or hard feces,Ch.Chi.15.72
Disease,Tanu varcha - Vaataja Pittaja Kaphaja  grahani feature (Disease feature),Varcha,Thin or less dense feces,Ch.Chi.15.72
Disease,Aama varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Abnormally formed feces,Ch.Chi.15.72
Disease,Neela varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Blue feces,Ch.Chi.15.72
Disease,Peeta varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Yellow feces,Ch.Chi.15.72
Disease,Drava varcha - Vaataja Pittaja Kaphaja grahani feature (Disease feature),Varcha,Loose feces,Ch.Chi.15.72
Advise,Indication of vamana in grahani dosha in vishtambha (Advise),Pureesha,Indication of vamana in grahani dosha in vishtambha (Advise),Ch.Chi.15.73-74
Advise,Indication of nirooha basti in grahani dosha in sakta vin (Advise),Vin,Indication of nirooha basti in grahani dosha in sakta vin (Advise),Ch.Chi.15.78
Advise,Indication of virechana in grahani (Advise),Virechana,Indication of virechana in grahani (Advise),Ch.Chi.15.79
Advise,Indication of anuvasana basti in grahani in rooksha varcha (Advise),Varcha,Indication of anuvasana basti in grahani in rooksha varcha (Advise),Ch.Chi.15.80
Advise,Indication of anuvasana basti in grahani in baddha varcha (Advise),Varcha,Indication of anuvasana basti in grahani in baddha varcha (Advise),Ch.Chi.15.80
Advise,Vit pareeksha - Sinks in water - Gurutva (Saama mala) (Advise),Mala,Vit pareeksha - Sinks in water - Gurutva (Saama mala) (Advise),Ch.Chi.15.94
Advise,Vit pareeksha - Floats on water (Niraama mala) (Advise),Mala,Vit pareeksha - Floats on water (Niraama mala) (Advise),Ch.Chi.15.94
Advise,Vit pareeksha - Sinks in water - Sheeta guna (Advise),Mala,Vit pareeksha - Sinks in water - Sheeta guna (Advise),Ch.Chi.15.94
Advise,Vit pareeksha - Sinks in water - Kapha predominance (Advise),Mala,Vit pareeksha - Sinks in water - Kapha predominance (Advise),Ch.Chi.15.94
Treatment,Saama varcha treatment (Treatment),Mala,Saama varcha treatment (Treatment),Ch.Chi.15.100-101
Treatment,Mucous mixed stool treatment (Treatment),Mala,Mucous mixed stool treatment (Treatment),Ch.Chi.15.100-101
Treatment,Arsho granthi with stool pellet treatment (Treatment),Mala,Arsho granthi with stool pellet treatment (Treatment),Ch.Chi.15.100-101
Advise,Indication for vomitting in Arsho granthi with stool pellet treatment (Advise),Mala,Indication for vomitting in Arsho granthi with stool pellet treatment (Advise),Ch.Chi.15.101-102
Advise,Chavyaadi yavagu in Atisaara (Advise),Atisaara,Chavyaadi yavagu in Atisaara (Advise),Ch.Chi.15.112-114
Advise,Indication of virechana in Pitta pradhaana grahani (Advise),Virechana,Indication of virechana in Pitta pradhaana grahani (Advise),Ch.Chi.15.122
Advise,Indication of naagaraadi choorna for pravaahika (Advise),Pravaahika,Indication of naagaraadi choorna for pravaahika (Advise),Ch.Chi.15.129-131
Advise,Indication of bhoonimbaadi choorna for Atisaara (Advise),Atisaara,Indication of bhoonimbaadi choorna for Atisaara (Advise),Ch.Chi.15.132-133
Advise,Indication of kiraataadi choorna for Sannipaataja Atisaara (Advise),Atisaara,Indication of kiraataadi choorna for Sannipaataja Atisaara (Advise),Ch.Chi.15.137-140
Advise,Indication of panchamakshaara in Atisaara (Advise),Atisaara,Indication of panchamakshaara in Atisaara (Advise),Ch.Chi.15.188-193
Advise,Indication of ghee and salt in krichhra pureesha (Advise),Pureesha,Indication of ghee and salt in krichhra pureesha (Advise),Ch.Chi.15.204
Treatment,Treatment for Bhinna mala guda aalepa - Taila (Treatment),Mala,Treatment for Bhinna mala guda aalepa - Taila (Treatment),Ch.Chi.15.206
Treatment,Treatment for Bhinna mala guda aalepa - Sura (Treatment),Mala,Treatment for Bhinna mala guda aalepa - Sura (Treatment),Ch.Chi.15.206
Treatment,Treatment for Bhinna mala guda aalepa - Aasava (Treatment),Mala,Treatment for Bhinna mala guda aalepa - Aasava (Treatment),Ch.Chi.15.206
Advise,Indication of virechana - Shyaama trivrut prayoga for pitta prakopa (Advise),Virechana,Indication of virechana - Shyaama trivrut prayoga for pitta prakopa (Advise),Ch.Chi.15.231-232
Cause,Vega vidhaarana lead to paandu roga (Cause),Vega,Vega vidhaarana lead to paandu roga (Cause),Ch.chi.16.8
Disease,Varcha shosha - Vaataja paandu roga feature (Disease feature),Varcha,Dry or hard feces,Ch.Chi.16.17.18
Disease,Peeta shakrut - Pittaja paandu roga feature (Disease feature),Shakrut,Yellow feces,Ch.Chi.16.20-22
Disease,Bhinna varcha - Pittaja paandu roga feature (Disease feature),Varcha,Loose feces,Ch.Chi.16.20-22
Disease,Shukla varcha - Kaphaja paandu roga feature (Disease feature),Varcha,Pale or white feces,Ch.chi.16.25
Disease,Varcha shosha - Vaataja Pittaja Kaphaja paandu roga feature (Disease feature),Varcha,Dry or hard feces,Ch.Chi.16.26
Disease,Peeta shakrut - Vaataja Pittaja Kaphaja paandu roga feature (Disease feature),Varcha,Yellow feces,Ch.Chi.16.26
Disease,Bhinna varcha - Vaataja Pittaja Kaphaja paandu roga feature (Disease feature),Varcha,Loose feces,Ch.Chi.16.26
Disease,Shukla varcha - Vaataja Pittaja Kaphaja paandu roga feature (Disease feature),Varcha,Pale or white feces,Ch.Chi.16.26
Disease,Atisaara - mrud bhakshana janya paandu roga feature (Disease feature),Atisaara,Loose feces,Ch.Chi.16.30
Disease,Mala sa asruk - mrud bhakshana janya paandu roga feature (Disease feature),Mala,Blood mixed feces,Ch.Chi.16.30
Disease,Mala sa kapha - mrud bhakshana janya paandu roga feature (Disease feature),Mala,Phlegm mixed feces,Ch.Chi.16.30
Disease,Peeta vit - Asaadhya lakshana of paandu (Disease feature),Vit,Yellow feces,Ch.Chi.16.31-33
Disease,Baddha vit - Asaadhya lakshana of paandu (Disease feature),Vit,Obstruction of feces,Ch.Chi.16.31-33
Disease,Alpa vit - Asaadhya lakshana of paandu (Disease feature),Vit,Reduced quantity of feces,Ch.Chi.16.31-33
Disease,Sa kapha vit - Asaadhya lakshana of paandu (Disease feature),Vit,Phlegm mixed feces,Ch.Chi.16.31-33
Disease,Harita vit - Asaadhya lakshana of paandu (Disease feature),Vit,Green feces,Ch.Chi.16.31-33
Disease,Rakta shakrut - Kaamala roga lakshana (Disease feature),Shakrut,Red feces,Ch.chi.16.34-36
Disease,Peeta shakrut - Kaamala roga lakshana (Disease feature),Shakrut,Yellow feces,Ch.Chi.16.34-36
Disease,Krishna shakrut - Kaamala asaadya lakshana (Disease feature),Shakrut,Black feces,Ch.Chi.16.37-38.5
Disease,Peeta shakrut - Kaamala asaadya lakshana (Disease feature),Shakrut,Yellow feces,Ch.Chi.16.37-38.5
Treatment,Teekshna anulomana - Paandu roga treatment (Treatment),Pureesha,Teekshna anulomana - Paandu roga treatment (Treatment),Ch.Chi.16.39-43
Disease,Tila pishta nibham varcha - Shaakha aashrita kaamala lakshana (Disease feature),Varcha,Clay coloured feces,Ch.Chi.16.124-128
Cause,Vega nigraha - Shaakha aashrita kaamala cause (Cause),Vega,Vega nigraha - Shaakha aashrita kaamala cause (Cause),Ch.Chi.16.124-128
Advise,Pureesha ranjana treatment in shaakaasrita kaamala (Advise),Pureesha,Pureesha ranjana treatment in shaakaasrita kaamala (Advise),Ch.Chi.16.130-132
Disease,Atisaara - Vyapetha hikka (Disease feature),Atisaara,Loose feces,Ch.Chi.17.31-33
Disease,Aanaaha - Chinna shwaasa (Disease feature),Aanaaha,Obstruction of feces,Ch.Chi.17.52-54
Disease,Hikka updrava - Atisaara (Disease feature),Atisaara,Loose feces,Ch.Chi.17.81
Disease,Shwaasa upadrava - Atisaara (Disease feature),Atisaara,Loose feces,Ch.Chi.17.82
Treatment,Virechana for Hikka predominant with kapha (Treatment),Virechana,Virechana for Hikka predominant with kapha (Treatment),Ch.Chi.17.88-90
Treatment,Virechana for Shwaasa predominant with kapha (Treatment),Virechana,Virechana for Shwaasa predominant with kapha (Treatment),Ch.Chi.17.88-90
Treatment,Indication of virechana in tamaka shwaasa (Treatment),Virechana,Indication of virechana in tamaka shwaasa (Treatment),Ch.Chi.17.121-122
Cause,Vega dhaarana lead to Vaataja kaasa (Cause),Vega,Vega dhaarana lead to Vaataja kaasa (Cause),Ch.Chi.18.10
Disease,Kshayaja kaasa feature - Bhinna varcha without reason (Disease feature),Varcha,Loose feces,Ch.Chi.18.28
Disease,Kshayaja kaasa feature - Samhata varcha without reason (Disease feature),Varcha,Hard feces,Ch.Chi.18.28
Advise,Indication of basti for vaataja kaasa with baddha vit (Advise),Vit,Indication of basti for vaataja kaasa with baddha vit (Advise),Ch.Chi.18.32-34
Advise,Indication of virechana in pitta pradhaana kaasa (Advise),Virechana,Indication of virechana in pitta pradhaana kaasa (Advise),Ch.Chi.18.32-34
Advise,Indication of virechana in pittaja kaasa with thin phlegm (Advise),Virechana,Indication of virechana in pittaja kaasa with thin phlegm (Advise),Ch.Chi.18.85
Advise,Indication of virechana in pittaja kaasa with thick phlegm (Advise),Virechana,Indication of virechana in pittaja kaasa with thick phlegm (Advise),Ch.Chi.18.85
Advise,Mythological origin of Atisaara (Advise),Atisaara,Mythological origin of Atisaara (Advise),Ch.Chi.19.4
Disease,Slimy stool with mucus - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Slimy feces with mucus,Ch.Chi.19.5
Disease,Stool floats on water - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Feces floats on water,Ch.Chi.19.5
Disease,"Stool, when placed over the earth, gets soaked - Vaataja aamaja atisaara feature (Disease feature)",Atisaara,Loose feces,Ch.Chi.19.5
Disease,"Stool is rough (i.e., not oily)  - Vaataja aamaja atisaara feature (Disease feature)",Atisaara,Rough feces,Ch.Chi.19.5
Disease,Stool is liquid  - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Loose feces,Ch.Chi.19.5
Disease,Evacuation of stool is accompanied with colic pain - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Loose feces with pain,Ch.Chi.19.5
Disease,Stool smells like undigested food  - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Foul smelling feces,Ch.Chi.19.5
Disease,Evacuation of stool is associated with little or no sound - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Defecation with little or no sound,Ch.Chi.19.5
Disease,Evacuation of the stool is not accompanied with flatus and urine - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Defecation without flatus or urine,Ch.Chi.19.5
Disease,Gurgling sound - Vaataja aamaja atisaara feature (Disease feature),Atisaara,Defecation with pain,Ch.Chi.19.5
Disease,Colic pain -  Vaataja aamaja atisaara feature (Disease feature),Atisaara,Hard feces,Ch.Chi.19.5
Disease,Evacuates hard stool in small quantities - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Hard feces with little quantity,Ch.Chi.19.5
Disease,Evacuation of stool is associated with sound - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Defecation with sound,Ch.Chi.19.5
Disease,Stool is frothy - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Frothy feces,Ch.Chi.19.5
Disease,Stool is slimy - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Slimy feces,Ch.Chi.19.5
Disease,Griping pain  - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with tenesmus,Ch.Chi.19.5
Disease,Horripilation - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with horripilation,Ch.Chi.19.5
Disease,Groaning - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with groaning,Ch.Chi.19.5
Disease,Dryness of the mouth - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with dryness of mouth,Ch.Chi.19.5
Disease,Pain in the lumbar region - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with lumbar pain,Ch.Chi.19.5
Disease,Pain in the thighs - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with thigh pain,Ch.Chi.19.5
Disease,Pain in the sacral region - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with sacral pain,Ch.Chi.19.5
Disease,Pain in the knees - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with knee pain,Ch.Chi.19.5
Disease,Pain in the back - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with back pain,Ch.Chi.19.5
Disease,Pain in the sides of chest - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with side chest pain,Ch.Chi.19.5
Disease,Prolapse of the rectum - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose feces with prolapse of rectum,Ch.Chi.19.5
Disease,Evacuates scybalous stool frequently - Vaataja niraamaja atisaara feature (Disease feature),Atisaara,Loose Hard feces with frequent defecation,Ch.Chi.19.5
Disease,Pittaja atisaara lakshana - Frequent loose motions - fainting (Disease feature),Atisaara,Loose feces with fainting,Ch. Chi. 19. 6
Disease,Pittaja atisaara lakshana - Frequent loose motions - colic pain (Disease feature),Atisaara,Loose feces with pain,Ch. Chi. 19. 6
Disease,Pittaja atisaara lakshana - Frequent loose motions - hot sensation (Disease feature),Atisaara,Loose feces with burning sensation around anus,Ch. Chi. 19. 6
Disease,Pittaja atisaara lakshana - Frequent loose motions - suppuration of the anus (Disease feature),Atisaara,Loose feces with suppuration of anus,Ch. Chi. 19. 6
Cause,Kaphaja atisaara cause - Consumption of heavy ingredients (Cause),Atisaara,Kaphaja atisaara cause - Consumption of heavy ingredients (Cause),Ch. Chi. 19.7
Cause,Kaphaja atisaara cause - Consumption of sweet ingredients (Cause),Atisaara,Kaphaja atisaara cause - Consumption of sweet ingredients (Cause),Ch. Chi. 19.7
Cause,Kaphaja atisaara cause - Consumption of cold ingredients (Cause),Atisaara,Kaphaja atisaara cause - Consumption of cold ingredients (Cause),Ch. Chi. 19.7
Cause,Kaphaja atisaara cause - Consumption of unctuous ingredients (Cause),Atisaara,Kaphaja atisaara cause - Consumption of unctuous ingredients (Cause),Ch. Chi. 19.7
Cause,Kaphaja atisaara cause - Inactivity of the mind (Cause),Atisaara,Kaphaja atisaara cause - Inactivity of the mind (Cause),Ch. Chi. 19.7
Cause,Kaphaja atisaara cause - indolence (Cause),Atisaara,Kaphaja atisaara cause - indolence (Cause),Ch. Chi. 19.7
Cause,Kaphaja atisaara cause - Habitually sleeping during the day time (Cause),Atisaara,Kaphaja atisaara cause - Habitually sleeping during the day time (Cause),Ch. Chi. 19.7
Advise,Sampraapti of kaphaja atisaara (Advise),Atisaara,Sampraapti of kaphaja atisaara (Advise),Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Unctous stool (Disease feature),Atisaara,Loose feces with unctous,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - White stool (Disease feature),Atisaara,Loose feces with pale or white colour,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Slimy stool (Disease feature),Atisaara,Loose feces with slimy feces,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Fibrous stool (Disease feature),Atisaara,Loose feces with fibrous feces,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Stool with Mucus (Disease feature),Atisaara,Loose feces with mucus,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Undigested food particles with stool (Disease feature),Atisaara,Loose feces with undigested food,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Heavy stool (Disease feature),Atisaara,Loose feces with heavy feces,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Foul smelling stool (Disease feature),Atisaara,Loose feces with foul smelling feces,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Stool mixed with phlegm (Disease feature),Atisaara,Loose feces with phlegmn,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Stool passed frequently in small quantities (Disease feature),Atisaara,Loose feces with frequent defecation,Ch. Chi. 19.7
Disease,Kaphaja atisaara lakshana - Urge for passing stool even after having evacuated (Disease feature),Atisaara,Loose feces with repeated urge after passing feces,Ch. Chi. 19.7
Cause,Consuming excessive cold items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive cold items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive unctous items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive unctous items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive ununctous items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive ununctous items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive hot items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive hot items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive heavy items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive heavy items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive coarse items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive coarse items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive hard items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive hard items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive irregular meal as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive irregular meal as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive mutually contradictory items or regimen as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive mutually contradictory items or regimen as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming excessive unwholesome food as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming excessive unwholesome food as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Intake of food long after the scheduled time as cause for Sannipaataja atisaara (Cause),Atisaara,Intake of food long after the scheduled time as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Intake of food without caring for its wholesomeness or otherwise as cause for Sannipaataja atisaara (Cause),Atisaara,Intake of food without caring for its wholesomeness or otherwise as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Drinking of alcohol and other drinks which are polluted as cause for Sannipaataja atisaara (Cause),Atisaara,Drinking of alcohol and other drinks which are polluted as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Consuming of toxic or harmful substances as cause for Sannipaataja atisaara (Cause),Atisaara,Consuming of toxic or harmful substances as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Drinking of alcohol in excess as cause for Sannipaataja atisaara (Cause),Atisaara,Drinking of alcohol in excess as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Not resorting to elimination therapies (in appropriate seasons) as cause for Sannipaataja atisaara (Cause),Atisaara,Not resorting to elimination therapies (in appropriate seasons) as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
